model,threshold,precision,recall,f1,pr_auc,roc_auc,false_negative_count,false_positive_count,estimated_cost,validation_cost_at_threshold
logistic_regression,0.85,0.2327790973871734,0.3828125,0.2895125553914328,0.28892852032211935,0.8426423865378065,158,323,270732.505,268012.378
random_forest,0.59,0.19533527696793002,0.26171875,0.22370617696160267,0.1562841836593228,0.8044732948739782,189,276,317580.507,322877.55299999996
xgboost,0.73,0.20238095238095238,0.265625,0.22972972972972974,0.19795758263939245,0.8022416034251532,188,268,309270.103,302835.497
